epoch,train_loss,eval_loss,eval_auc,eval_accuracy,eval_precision,eval_recall,eval_f1
1,0.699337,0.693502,0.31666666666666665,0.625,0.0,0.0,0.0
2,0.689103,0.668958,0.5166666666666666,0.625,0.0,0.0,0.0
3,0.669378,0.646629,0.8666666666666667,0.6875,1.0,0.16666666666666666,0.2857142857142857
4,0.678849,0.626359,0.85,0.75,1.0,0.3333333333333333,0.5
5,0.651851,0.607697,0.8166666666666667,0.875,1.0,0.6666666666666666,0.8
6,0.638363,0.590088,0.85,0.875,1.0,0.6666666666666666,0.8
7,0.619635,0.573801,0.85,0.875,1.0,0.6666666666666666,0.8
8,0.609399,0.558701,0.85,0.875,1.0,0.6666666666666666,0.8
9,0.619083,0.546666,0.8333333333333334,0.875,1.0,0.6666666666666666,0.8
10,0.617836,0.537484,0.8166666666666667,0.875,1.0,0.6666666666666666,0.8
11,0.603037,0.529866,0.8333333333333334,0.875,1.0,0.6666666666666666,0.8
12,0.594765,0.523113,0.8333333333333334,0.875,1.0,0.6666666666666666,0.8
13,0.585062,0.517151,0.8333333333333333,0.875,1.0,0.6666666666666666,0.8
14,0.563152,0.512207,0.8333333333333333,0.875,1.0,0.6666666666666666,0.8
15,0.569012,0.50918,0.8333333333333333,0.875,1.0,0.6666666666666666,0.8
16,0.565192,0.50657,0.8333333333333333,0.8125,0.8,0.6666666666666666,0.7272727272727273
17,0.534406,0.503202,0.8333333333333333,0.8125,0.8,0.6666666666666666,0.7272727272727273
18,0.528408,0.497437,0.85,0.8125,0.8,0.6666666666666666,0.7272727272727273
19,0.552606,0.491433,0.85,0.8125,0.8,0.6666666666666666,0.7272727272727273
20,0.53496,0.487054,0.85,0.8125,0.8,0.6666666666666666,0.7272727272727273
